participant,theme_time_constraints,theme_body_image,theme_social_media_influence,theme_lack_of_knowledge,theme_low_motivation,theme_gym_intimidation,theme_social_support,theme_nutrition_energy,theme_cost_access,theme_mental_health,theme_positive_self_image,theme_intrinsic_motivation,theme_extrinsic_motivation,theme_autonomy_preference,theme_past_athletic_identity
Interview 3.txt,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1
Interview 4.txt,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Interview 5a.txt,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
Interview 5b.txt,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
J Interview.txt,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1
K Interview.txt,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
Q Interview.txt,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
T Interview.txt,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
