question,participant,sentiment,participant_short,question_short
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",Interview 5b.txt,1.0,5b,Q16. If something could remove one barrier to gett...
Q17. How would you feel best supported going to the gym?,Interview 5b.txt,1.0,5b,Q17. How would you feel best supported going to th...
Q18. What would you hope to gain from going to the gym?,Interview 5b.txt,2.0,5b,Q18. What would you hope to gain from going to the...
Q1. What do you do outside of work/school?,J Interview.txt,0.0,J Interview,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,J Interview.txt,0.0,J Interview,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,J Interview.txt,0.0,J Interview,Q3. How does scrolling through content on social ...
Q4. Do you find yourself comparing your image to people you see online? How does that affect you?,J Interview.txt,1.0,J Interview,Q4. Do you find yourself comparing your image to ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",J Interview.txt,2.0,J Interview,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,J Interview.txt,2.0,J Interview,Q6. What would you say has the biggest influence ...
Q7. How would you describe your relationship with your body currently?,J Interview.txt,2.0,J Interview,Q7. How would you describe your relationship with...
Q8. Have you ever avoided a physical activity because of how you thought you'd look doing working out?,J Interview.txt,1.0,J Interview,Q8. Have you ever avoided a physical activity bec...
Q9. Were you involved in any sports or physical activities? How did that shape how you think about exercise now?,J Interview.txt,2.0,J Interview,Q9. Were you involved in any sports or physical a...
Q10. Have you ever signed up for a gym and stopped going? What led to that?,J Interview.txt,0.0,J Interview,Q10. Have you ever signed up for a gym and stopped...
Q11. When was the last time you thought about going to the gym but didn't end up going?,J Interview.txt,-1.0,J Interview,Q11. When was the last time you thought about goin...
"Q12. If you went to the gym tomorrow, how confident would you be knowing where to start or what to do?",J Interview.txt,2.0,J Interview,"Q12. If you went to the gym tomorrow, how confiden..."
Q13. Do you ever feel like gyms are catered for certain types of people? What gives you that impression?,J Interview.txt,1.0,J Interview,Q13. Do you ever feel like gyms are catered for ce...
"Q14. When you think about going to the gym, do you picture yourself going alone or with someone? Why?",J Interview.txt,1.0,J Interview,"Q14. When you think about going to the gym, do you..."
"Q15. What is your preference working out alone, taking a group fitness class, or exercising casually with friends?",J Interview.txt,1.0,J Interview,"Q15. What is your preference working out alone, ta..."
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",J Interview.txt,-1.0,J Interview,Q16. If something could remove one barrier to gett...
Q18. What would you hope to gain from going to the gym?,J Interview.txt,2.0,J Interview,Q18. What would you hope to gain from going to the...
Q4. Do you find yourself comparing your image to people you see online?,J Interview.txt,1.0,J Interview,Q4. Do you find yourself comparing your image to ...
Q1. What do you do outside of work/school?,K Interview.txt,0.0,K Interview,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,K Interview.txt,0.0,K Interview,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,K Interview.txt,0.0,K Interview,Q3. How does scrolling through content on social ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",K Interview.txt,2.0,K Interview,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,K Interview.txt,2.0,K Interview,Q6. What would you say has the biggest influence ...
Q8. Have you ever avoided a physical activity because of how you thought you'd look doing working out?,K Interview.txt,1.0,K Interview,Q8. Have you ever avoided a physical activity bec...
Q9. Were you involved in any sports or physical activities? How did that shape how you think about exercise now?,K Interview.txt,2.0,K Interview,Q9. Were you involved in any sports or physical a...
Q10. Have you ever signed up for a gym and stopped going? What led to that?,K Interview.txt,-1.0,K Interview,Q10. Have you ever signed up for a gym and stopped...
