name,address,latitude,longitude,price,google_maps_url,types
Boston Body Pilates - East Watertown,"57 Mt Auburn St, Watertown, MA 02472, USA",42.3658737,-71.181426,$375,https://maps.google.com/?cid=1268458198015972083&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"sports_school, sports_complex, gym, sports_activity_location, point_of_interest, health, establishment"
TheFastFitness Performance & Health,"41 E Pier Dr, Boston, MA 02128, USA",42.3658316,-71.0402407,personal,https://maps.google.com/?cid=10668544377351634194&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, medical_clinic, service, sports_complex, gym, sports_activity_location, point_of_interest, health, establishment"
Planet Fitness,"625 Massachusetts Ave, Cambridge, MA 02139, USA",42.3657,-71.1032,$25,https://maps.google.com/?cid=15159317931495386963&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, health, point_of_interest, establishment"
Cambridge Community Center,"5 Callender St, Cambridge, MA 02139, USA",42.365534,-71.1112232,community center,https://maps.google.com/?cid=8789257349478593301&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"community_center, childrens_camp, art_gallery, farmers_market, gym, event_venue, child_care_agency, market, government_office, sports_activity_location, health, point_of_interest, service, establishment"
VIM Fitness,"579 Massachusetts Ave, Cambridge, MA 02139, USA",42.3653755,-71.1022491,$84,https://maps.google.com/?cid=17390488039203908143&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, point_of_interest, establishment"
[solidcore] North Station,"106 Beverly St Space S2, Boston, MA 02114, USA",42.3653317,-71.0598549,$288,https://maps.google.com/?cid=15556749040633886627&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_complex, sports_school, sports_activity_location, health, service, point_of_interest, establishment"
Arsenal Performance- Health.Strength.Community,"49 Clarendon St, Watertown, MA 02472, USA",42.3651171,-71.1536025,personal,https://maps.google.com/?cid=17124496669676935321&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_activity_location, sports_club, consultant, association_or_organization, health, point_of_interest, service, establishment"
CorePower Yoga - Kendall Square,"205 Galileo Galilei Way, Cambridge, MA 02142, USA",42.3650483,-71.0890649,$189,https://maps.google.com/?cid=2639405556174171035&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, sports_activity_location, health, point_of_interest, establishment"
The Handle Bar HEAT | North End Location,"77 N Washington St, Boston, MA 02114, USA",42.3650269,-71.0580874,$159,https://maps.google.com/?cid=4464273953904805396&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_complex, sports_school, health, sports_activity_location, point_of_interest, establishment"
TITLE Boxing Club Watertown,"150 Arsenal St, Watertown, MA 02472, USA",42.364958,-71.176491,$129,https://maps.google.com/?cid=9871127575528383072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"sports_coaching, sports_school, sports_complex, gym, sports_activity_location, point_of_interest, health, establishment"
